year	n_clusters	fuzziness	partition_coefficient	silhouette_score
2010	8	2.1	0.0851366616094524	0.5479781406520557
2010	9	2.1	0.07448635537285127	0.4895615570523006
2010	2	2.5	0.44742451752047796	0.8304040018101113
2010	3	2.5	0.24775819945820327	0.6048974354869997
2010	4	2.5	0.17264054033365261	0.6227590827572232
2010	5	2.5	0.12561294538089532	0.52568018700845
2010	6	2.5	0.1028958109014034	0.517518166770969
2010	7	2.5	0.08081675554578996	0.5289722546480161
2010	8	2.5	0.0709610401503073	0.4814948961925237
2010	9	2.5	0.0591587808309935	0.512037508730838
2010	2	2.6	0.4410736270740779	0.8304040018101113
2010	3	2.6	0.2418724022629333	0.6048974354869997
2010	4	2.6	0.1668192279006839	0.6233024429256006
2010	5	2.6	0.12075522503482211	0.52568018700845
2010	6	2.6	0.09855627371000211	0.517518166770969
2010	7	2.6	0.07690441161763509	0.5308132368114902
2010	8	2.6	0.06382944251060707	0.529467477834905
2010	9	2.6	0.05585124519410807	0.5209997970141093
2010	2	2.7	0.4346451244733171	0.8304040018101113
2010	3	2.7	0.2361787850922067	0.6048974354869997
2010	4	2.7	0.16117717618677624	0.6233024429256006
2010	5	2.7	0.1160929336260781	0.5242158974876279
2010	6	2.7	0.09435736393517877	0.5199300452178068
2010	7	2.7	0.07444702831134817	0.4714283158407346
2010	8	2.7	0.06112961834073234	0.5152171243865434
2010	9	2.7	0.053159283635820204	0.485668764029525
2011	2	1.3	0.49748633105403856	0.8352557049111636
2011	3	1.3	0.32109488878972703	0.6682586833526065
2011	4	1.3	0.23686524433718661	0.6144985369160395
2011	5	1.3	0.19185143688890238	0.6611966581438004
2011	6	1.3	0.16051740764668446	0.6175363206689664
2011	7	1.3	0.1326321158650652	0.4620649907409871
2011	8	1.3	0.1200980330253522	0.6166150609375369
2011	9	1.3	0.10692072446103215	0.6175205500234644
2011	2	1.4	0.49616662953506985	0.8352557049111636
2011	3	1.4	0.316060254168216	0.6682586833526065
2011	4	1.4	0.23775210852506568	0.6780733373433915
2011	5	1.4	0.18700989436938062	0.6534357265239514
2011	6	1.4	0.15766553888045462	0.6175363206689664
2011	7	1.4	0.12893841023850533	0.4620649907409871
2011	8	1.4	0.1138154166771492	0.5135355153055885
2011	9	1.4	0.10341221424587616	0.6023281377648646
2011	2	1.5	0.4942970589527822	0.8352557049111636
2011	3	1.5	0.3106203061759003	0.6722399568363799
2011	4	1.5	0.23295071991257735	0.6787235538090598
2011	5	1.5	0.18264406842156333	0.592950076087504
2011	6	1.5	0.15439332355858307	0.6175363206689664
2011	7	1.5	0.1250113094503197	0.4640079619692536
2011	8	1.5	0.11409726634039852	0.6096929791343688
2011	9	1.5	0.09760199121217653	0.5155508864153069
2011	2	1.6	0.4918747603554603	0.8352557049111636
2011	3	1.6	0.3051015398999491	0.6621796643550906
2011	4	1.6	0.2288805553215783	0.6671690267591555
2011	5	1.6	0.17861897618142583	0.58877060141312
2011	6	1.6	0.15069257436252356	0.6175363206689664
2011	7	1.6	0.12089824161550626	0.4640079619692536
2011	8	1.6	0.10647193543696623	0.517945671076191
2011	9	1.6	0.09437922659058354	0.5140385357047093
2011	2	1.7	0.48892635215495395	0.8352557049111636
2011	3	1.7	0.2995590033282869	0.6536863204036234
2011	4	1.7	0.2225090050636251	0.6749098985029856
2011	5	1.7	0.17435915444062777	0.58877060141312
2011	6	1.7	0.14657037251289365	0.6175363206689664
2011	7	1.7	0.12506232329658604	0.611292341497067
2011	8	1.7	0.10714096101020601	0.6151585230776936
2011	9	1.7	0.09081436515025915	0.5140385357047093
2011	2	2.0	0.47708295723783684	0.8352557049111636
2011	3	2.0	0.2822489450997947	0.6385097883885582
2011	4	2.0	0.20468484752399527	0.6597871935361441
2011	5	2.0	0.16028064256912872	0.5852438847731212
2011	6	2.0	0.13219064135343983	0.6154163110918665
2011	7	2.0	0.10296099193585674	0.465692948417971
2011	8	2.0	0.0894464727870084	0.46226410222626596
2011	9	2.0	0.07597661743152803	0.41551636585931323
2011	2	2.1	0.47221230083693805	0.8352557049111636
2011	3	2.1	0.2762010538004846	0.6288018987919687
2011	4	2.1	0.1987902717625149	0.6438931775091086
2011	5	2.1	0.15526119812636308	0.5852438847731212
2011	6	2.1	0.12700262420396846	0.6154163110918665
2011	7	2.1	0.09834565699724772	0.462575623497805
2011	8	2.1	0.0851476932892399	0.46270966187139145
2011	9	2.1	0.07530876848864651	0.5084107553526147
2011	2	2.5	0.4494715918477645	0.8352557049111636
2011	3	2.5	0.25166460594735185	0.6233735526767017
2011	4	2.5	0.17485410688730743	0.639257867467636
2011	5	2.5	0.13312580490069323	0.638028026824449
2011	6	2.5	0.10649294030431769	0.603057298431983
2011	7	2.5	0.08111510966729459	0.44099730993717484
2011	8	2.5	0.07028372857932727	0.4397567362945453
2011	9	2.5	0.05809744762692108	0.4063905594856142
2011	2	2.6	0.44329621476425296	0.8352557049111636
2011	3	2.6	0.24570580591817978	0.6200178526682725
2011	4	2.6	0.16900687006726334	0.639257867467636
2011	5	2.6	0.1299764443676113	0.5768744167282268
2011	6	2.6	0.10172199523263507	0.603057298431983
2011	7	2.6	0.0773015076099991	0.44660177479371477
2011	8	2.6	0.06522879034718408	0.4530606554193468
2011	9	2.6	0.057374176580934876	0.44573460788237634
2011	2	2.7	0.4370479642224647	0.8288236485890619
2011	3	2.7	0.23990119640068194	0.6200178526682725
2011	4	2.7	0.1633266023339204	0.639257867467636
2011	5	2.7	0.12517909973071084	0.5685845143040575
2011	6	2.7	0.09715657334601913	0.5984075717755201
2011	7	2.7	0.07372465919129446	0.44588985006168336
2011	8	2.7	0.0636088056190975	0.4363303225882578
2011	9	2.7	0.051027952896121324	0.4963780916041211
2012	2	1.3	0.49703983418913195	0.8290245989223038
2012	3	1.3	0.3318285253010497	0.8220107596285591
2012	4	1.3	0.23735707687185675	0.5880783245523756
2012	5	1.3	0.19141079996094829	0.631616679645851
2012	6	1.3	0.1577066192812285	0.5959138587287918
2012	7	1.3	0.13532410427006286	0.5876488799294357
2012	8	1.3	0.11824967463483875	0.589590403924877
2012	9	1.3	0.10491762054291455	0.5655576087216101
2012	2	1.4	0.49544297775961654	0.8290245989223038
2012	3	1.4	0.31130027973053864	0.6257944624061165
2012	4	1.4	0.23320331245279546	0.5880783245523756
2012	5	1.4	0.1877078774143933	0.631616679645851
2012	6	1.4	0.15637012868344494	0.6233517008464948
2012	7	1.4	0.13222973880308386	0.5868991896282493
2012	8	1.4	0.11553487314360047	0.5891660820426993
2012	9	1.4	0.10260431601542788	0.5626616385015103
2012	2	1.5	0.49351293986579786	0.8290245989223038
2012	3	1.5	0.30491510146552075	0.6091941390370522
2012	4	1.5	0.22886092736414795	0.5865028637117132
2012	5	1.5	0.18381832999515613	0.631616679645851
2012	6	1.5	0.1495193539979425	0.583603684645374
2012	7	1.5	0.12862494367568314	0.5821976526680236
2012	8	1.5	0.11239420731350493	0.5891660820426993
2012	9	1.5	0.09988804942575133	0.586296453712001
2012	2	1.6	0.4911508428510352	0.8290245989223038
2012	3	1.6	0.29941503508513834	0.6063411336535769
2012	4	1.6	0.2223915330160351	0.6206461307957366
2012	5	1.6	0.17972797155354403	0.6281851314591381
2012	6	1.6	0.14938402564866243	0.6225175496520399
2012	7	1.6	0.12455105774451793	0.5688532647718294
2012	8	1.6	0.10855233173471315	0.5707689166461848
2012	9	1.6	0.09653264144025266	0.5721444042175381
2012	2	1.7	0.48825866823869124	0.8290245989223038
2012	3	1.7	0.29401107927868037	0.599585854808429
2012	4	1.7	0.2174773957258314	0.6176091861397996
2012	5	1.7	0.1722636373736466	0.6024475498114156
2012	6	1.7	0.14550668525869406	0.6214154913589128
2012	7	1.7	0.12093061211975553	0.5679021996974666
2012	8	1.7	0.10573973522357347	0.5641924521929848
2012	9	1.7	0.09343965511167564	0.5534282808359359
2012	2	2.0	0.4760476341461274	0.8290245989223038
2012	3	2.0	0.27697611701081515	0.5909713449824525
2012	4	2.0	0.2011632514447529	0.6080182519500956
2012	5	2.0	0.15771523041962587	0.5964871486959265
2012	6	2.0	0.13278214455183673	0.6214154913589128
2012	7	2.0	0.10887045853947445	0.5602929488616867
2012	8	2.0	0.09173386235734103	0.5279134436810489
2012	9	2.0	0.08156379845983168	0.5399107854987377
2012	2	2.1	0.47087587500952754	0.8290245989223038
2012	3	2.1	0.2710818019653531	0.581602298748546
2012	4	2.1	0.1954147221383191	0.6080182519500956
2012	5	2.1	0.15647997322563686	0.6239517098444312
2012	6	2.1	0.12831176532476304	0.6214154913589128
2012	7	2.1	0.1046185829681955	0.5568071772579236
2012	8	2.1	0.08745381866160618	0.5236034855578366
2012	9	2.1	0.07755536014008882	0.5348068638096868
2012	2	2.5	0.44659546958357926	0.8290245989223038
2012	3	2.5	0.24782005331728146	0.5772741058158729
2012	4	2.5	0.17247785148018976	0.6014127403746099
2012	5	2.5	0.1283907024339472	0.5564814607874402
2012	6	2.5	0.10436538624715293	0.5442389352100045
2012	7	2.5	0.08765391690447323	0.5445691105860925
2012	8	2.5	0.07158577362725581	0.532597976314841
2012	9	2.5	0.05944110198314187	0.46553852800699774
2012	2	2.6	0.44004036666348206	0.8290245989223038
2012	3	2.6	0.24227138831405395	0.5740334725433776
2012	4	2.6	0.166949793875479	0.6014127403746099
2012	5	2.6	0.12393719540551676	0.48358293884135367
2012	6	2.6	0.09888060462279433	0.5298631459796951
2012	7	2.6	0.0836490927107961	0.5435221761812304
2012	8	2.6	0.0643812552872856	0.4536822814271035
2012	9	2.6	0.05604571819806906	0.43753645165247945
2012	2	2.7	0.4334366083437908	0.8290245989223038
2012	3	2.7	0.23687509348165986	0.5740334725433776
2012	4	2.7	0.161566643030611	0.6014127403746099
2012	5	2.7	0.1184232819439287	0.5448794033370746
2012	6	2.7	0.09554240097385408	0.523190547313118
2012	7	2.7	0.07729301990076509	0.5254578469391377
2012	8	2.7	0.0610552906979672	0.4546896571926622
2012	9	2.7	0.05181637724662554	0.3657975348150988
2013	2	1.3	0.4970950139358263	0.8234663997876001
2013	3	1.3	0.3230287545230688	0.6609237904955364
2013	4	1.3	0.24389658780265222	0.6894905955127343
2013	5	1.3	0.19499824944696534	0.6730987654324843
2013	6	1.3	0.16164788854664663	0.6547484843352472
2013	7	1.3	0.13876683904184187	0.6601055629739838
2013	8	1.3	0.11788281159499964	0.5479761272147832
2013	9	1.3	0.1041668960779402	0.5159202454249966
2013	2	1.4	0.4950822043882496	0.8234663997876001
2013	3	1.4	0.3178353872332874	0.6586705304616302
2013	4	1.4	0.2403450908544222	0.6872204225217443
2013	5	1.4	0.1899273235690836	0.6350414770976704
2013	6	1.4	0.15895673931296833	0.6403252567844866
2013	7	1.4	0.13690916690133362	0.6601055629739838
2013	8	1.4	0.11484246945936705	0.5315078559994761
2013	9	1.4	0.10225093891401832	0.5363868941985652
2013	2	1.5	0.49293001900242955	0.8234663997876001
2013	3	1.5	0.31315626006136665	0.6586705304616302
2013	4	1.5	0.2364442162958845	0.6871007818817484
2013	5	1.5	0.18800068698637157	0.6717212732279755
2013	6	1.5	0.1475517295589466	0.505838194495819
2013	7	1.5	0.12678452066963392	0.5113329274879482
2013	8	1.5	0.11197109961558113	0.5297551907443278
2013	9	1.5	0.09957401839363791	0.5577238976908556
2013	2	1.6	0.49046549333039263	0.8234663997876001
2013	3	1.6	0.30847012232481624	0.6586705304616302
2013	4	1.6	0.2321151111101578	0.6871007818817484
2013	5	1.6	0.18479215585047	0.6717212732279755
2013	6	1.6	0.14325243216229996	0.505838194495819
2013	7	1.6	0.12344282015089171	0.5095798505551189
2013	8	1.6	0.10862836314123943	0.5256117715041072
2013	9	1.6	0.09644729033136781	0.5527952720397956
2013	2	1.7	0.4875379955448609	0.8234663997876001
